country_name,country_code,regime_category_index,spatial_democracy,parliament_chambers,lower_house_members,spatial_electoral,electoral_category_index,is_monarchy,is_democracy,is_presidential,is_colony,is_communist,has_proportional_voting,has_full_suffrage,is_multiparty,has_free_and_fair_election,has_alternation,has_new_constitution
Mozambique,MOZ,3.0,0.2857142857142857,1.0,250.0,2.2857142857142856,2.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
Myanmar,MMR,3.0,0.2,2.0,440.0,1.2,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Namibia,NAM,3.0,0.5,2.0,96.0,2.5,2.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
Nauru,NUR,0.0,1.0,1.0,19.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
Netherlands,NLD,0.0,1.0,2.0,150.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
New Zealand,NZL,0.0,1.0,1.0,120.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
Nicaragua,NIC,3.0,0.6666666666666666,1.0,92.0,2.6666666666666665,2.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
Niger,NER,1.0,0.4285714285714285,1.0,113.0,2.4285714285714284,3.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
Nigeria,NGA,2.0,0.5,2.0,360.0,2.5,3.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
North Macedonia,MKD,1.0,1.0,1.0,123.0,3.0,3.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
Norway,NOR,0.0,1.0,1.0,169.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
Oman,OMN,5.0,0.0,2.0,84.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Pakistan,PAK,0.0,0.25,2.0,342.0,1.5,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
Palau,PLW,2.0,1.0,2.0,16.0,3.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
Panama,PAN,2.0,1.0,1.0,71.0,3.0,3.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
Papua New Guinea,PNG,0.0,1.0,1.0,111.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
Paraguay,PRY,2.0,0.6666666666666666,2.0,80.0,2.6666666666666665,3.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
Peru,PER,2.0,0.8,1.0,130.0,2.8,3.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
Philippines,PHL,2.0,1.0,2.0,292.0,3.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
Poland,POL,1.0,0.7142857142857143,2.0,460.0,2.7142857142857144,3.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
Portugal,PRT,1.0,1.0,1.0,230.0,3.0,3.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
Qatar,QAT,5.0,0.0,1.0,45.0,0.6666666666666666,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Romania,ROM,1.0,0.8,2.0,412.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
Russia,RUS,3.0,0.6,2.0,450.0,2.4,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Rwanda,RWA,4.0,0.0,2.0,80.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
Samoa,WSM,5.0,0.6666666666666666,1.0,49.0,2.6666666666666665,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Sao Tome and Principe,STP,1.0,0.0,1.0,55.0,1.5,3.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
Saudi Arabia,SAU,5.0,0.1,1.0,150.0,1.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Senegal,SEN,1.0,0.8,1.0,150.0,2.8,3.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
Serbia,SRB,1.0,0.6666666666666666,1.0,250.0,2.7777777777777777,3.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
Seychelles,SYC,2.0,0.0,1.0,31.0,1.6,3.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
Sierra Leone,SLE,2.0,1.0,1.0,124.0,3.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
Singapore,SGP,3.0,1.0,1.0,99.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Slovak Republic,SVK,1.0,1.0,1.0,150.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
Slovenia,SVN,0.0,0.75,2.0,90.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
Solomon Islands,SLB,0.0,0.75,1.0,50.0,2.75,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
Somalia,SOM,3.0,0.0,1.0,275.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
South Africa,ZAF,3.0,0.3333333333333333,2.0,400.0,2.333333333333333,2.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
South Sudan,SSD,4.0,0.0,2.0,170.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Sri Lanka,LKA,2.0,1.0,1.0,225.0,3.0,3.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
St. Kitts & Nevis,KNA,0.0,1.0,1.0,15.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
St. Lucia,LCA,0.0,1.0,2.0,17.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
St.Vincent & Grenadines,VCT,0.0,1.0,1.0,21.0,2.6666666666666665,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
Sweden,SWE,0.0,1.0,1.0,349.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
Switzerland,CHE,2.0,1.0,2.0,200.0,3.0,3.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
Syria,SYR,4.0,0.2,1.0,250.0,2.2,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Taiwan,TWN,1.0,0.6666666666666666,1.0,113.0,2.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
Tajikistan,TJK,3.0,0.25,2.0,63.0,1.75,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Tanzania,TZA,4.0,0.25,1.0,350.0,2.25,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Thailand,THA,4.0,0.25,1.0,250.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Timor-Leste,TLS,1.0,1.0,1.0,65.0,3.0,3.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
