"gsis_id","headshot"
"00-0038682","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/vlkmvthlngrndan90u9f"
"00-0033599","https://static.www.nfl.com/image/private/f_auto,q_auto/league/idc2stgo1zgzsxqlm0uj"
"00-0000098","https://static.www.nfl.com/image/private/f_auto,q_auto/league/qqkgkzrfwttuy0ab8e6f"
"00-0025626","https://static.www.nfl.com/image/private/f_auto,q_auto/league/eixu1gumf4vgtfdukb9s"
"00-0000100","https://static.www.nfl.com/image/private/f_auto,q_auto/league/thwne3sb40hjqqzt4zb6"
"00-0038749","https://static.www.nfl.com/image/private/f_auto,q_auto/league/gztkbv4ndditd20dggdp"
"00-0035761","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/u8zwociyuwvzyrnbwcjh"
"00-0036020","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/pwpbwvqv5nslmayu2aob"
"00-0039175","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/iue7rvo1keuyltqxespb"
"AHR415291","https://static.www.nfl.com/image/private/f_auto,q_auto/league/bphxkrqjkwi87hl47ign"
"00-0028496","https://static.www.nfl.com/image/private/f_auto,q_auto/league/xi6wzqqryow6kl4euode"
"00-0028497","https://static.www.nfl.com/image/private/f_auto,q_auto/league/u0fe10u5kbeyhe65spby"
"00-0021915","https://static.www.nfl.com/image/private/f_auto,q_auto/league/jxuvmephedq3oex2b2ol"
"AIK276861","https://static.www.nfl.com/image/private/f_auto,q_auto/league/fblns6xugrcwinqq4jr9"
"00-0031307","https://static.www.nfl.com/image/private/f_auto,q_auto/league/df61cwjllfnjqjriozfr"
"00-0000104","https://static.www.nfl.com/image/private/f_auto,q_auto/league/skagdrvhtf6ywlxwlrou"
"AIM415291","https://static.www.nfl.com/image/private/f_auto,q_auto/league/pgwu0algwzejbg9zocir"
"00-0026302","https://static.www.nfl.com/image/private/f_auto,q_auto/league/fxv8ozrp13i9st1qwok9"
"AIU415291","https://static.www.nfl.com/image/private/f_auto,q_auto/league/bmlnyg1iug6kpeuroch7"
"00-0028679","https://static.www.nfl.com/image/private/f_auto,q_auto/league/ju5xjouwzzzc3m9isklv"
